time,heartRate
2025-01-09 01:40:33+0000,78
2025-01-01 20:08:41+0000,59
2024-12-27 03:48:43+0000,85
2024-12-27 03:48:16+0000,68
2024-12-21 16:39:01+0000,67
2024-12-21 16:38:47+0000,75
2024-12-21 16:38:31+0000,69
2024-12-21 04:03:44+0000,90
2024-12-20 00:58:16+0000,81
2024-12-17 13:56:39+0000,56
2024-12-09 16:15:18+0000,122
2024-12-08 03:56:48+0000,91
2024-12-03 02:27:18+0000,76
2024-12-02 01:29:41+0000,74
2024-11-16 23:30:14+0000,94
2024-11-12 07:57:23+0000,72
2024-11-12 01:47:08+0000,113
2024-11-11 08:38:19+0000,72
2024-11-03 16:39:58+0000,69
2024-11-03 16:00:38+0000,80
2024-11-03 16:00:04+0000,69
2024-11-02 17:23:24+0000,69
2024-11-02 17:21:02+0000,79
2024-11-01 16:26:19+0000,59
2024-10-21 01:40:34+0000,84
2024-10-18 12:07:02+0000,73
2024-10-18 12:06:44+0000,71
2024-10-18 00:55:00+0000,76
2024-10-18 00:54:45+0000,70
2024-10-10 03:24:46+0000,62
2024-10-04 15:57:53+0000,109
2024-09-29 03:05:36+0000,67
2024-09-28 06:41:50+0000,70
2024-09-16 05:26:08+0000,78
2024-09-15 14:16:05+0000,98
2024-09-11 09:52:28+0000,64
2024-09-02 12:16:54+0000,87
2024-08-30 20:14:57+0000,70
2024-08-30 20:14:19+0000,99
2024-08-10 18:06:43+0000,89
2024-08-01 02:38:38+0000,76
2024-08-01 02:37:08+0000,105
2024-08-01 01:06:16+0000,67
2024-07-25 12:43:16+0000,53
2024-07-17 04:36:11+0000,57
2024-07-16 18:20:15+0000,62
2024-07-15 17:57:41+0000,51
2024-07-15 17:57:17+0000,67
2024-07-15 06:21:22+0000,78
2024-07-14 21:51:10+0000,89
2024-07-14 03:56:21+0000,81
2024-07-13 06:48:58+0000,74
2024-07-08 00:27:10+0000,84
2024-07-07 21:38:00+0000,112
2024-06-26 00:34:10+0000,65
2024-06-26 00:33:33+0000,86
2024-06-25 02:47:44+0000,96
2024-06-24 02:56:01+0000,65
2024-06-24 02:55:59+0000,64
2024-06-22 16:16:19+0000,81
2024-06-22 16:15:49+0000,75
2024-06-15 08:12:07+0000,66
2024-06-05 03:59:54+0000,84
2024-05-29 01:37:21+0000,73
2024-05-25 06:57:49+0000,95
2024-05-25 04:44:34+0000,121
2024-05-19 00:59:06+0000,107
2024-05-15 12:52:21+0000,82
2024-05-09 22:03:52+0000,91
2024-04-19 10:10:38+0000,69
2024-02-28 11:53:43+0000,82
