date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2023-10-13,0,28,0,2023-10-12 23:41:00+0000,2023-10-13 00:09:00+0000,0,
2023-10-14,73,277,0,2023-10-13 18:37:00+0000,2023-10-14 01:30:00+0000,63,
2023-10-15,86,310,0,2023-10-14 19:52:00+0000,2023-10-15 03:43:00+0000,75,
2023-10-16,51,252,0,2023-10-15 16:43:00+0000,2023-10-15 22:28:00+0000,42,"[{\"start\":\"2022-01-08 00:34:42+0000\",\"end\":\"2022-01-08 00:35:08+0000\"}]"
2023-10-17,128,204,72,2023-10-16 16:16:00+0000,2023-10-17 00:10:00+0000,70,
2023-10-18,96,208,77,2023-10-17 16:44:00+0000,2023-10-18 00:34:00+0000,89,
2023-10-19,54,255,1,2023-10-18 16:30:00+0000,2023-10-18 22:20:00+0000,40,"[{\"start\":\"2022-01-08 00:38:30+0000\",\"end\":\"2022-01-08 00:39:02+0000\"}]"
2023-10-20,85,192,60,2023-10-19 16:47:00+0000,2023-10-20 00:07:00+0000,103,
2023-10-21,114,317,12,2023-10-20 16:25:00+0000,2023-10-21 01:19:00+0000,91,"[{\"start\":\"2022-01-08 00:34:22+0000\",\"end\":\"2022-01-08 00:34:49+0000\"},{\"start\":\"2022-01-08 00:38:35+0000\",\"end\":\"2022-01-08 00:38:53+0000\"}]"
2023-10-22,0,0,0,2023-10-20 16:00:00+0000,2023-10-20 16:00:00+0000,0,"[{\"start\":\"2022-01-08 00:34:38+0000\",\"end\":\"2022-01-08 00:35:25+0000\"}]"
2023-10-23,66,237,0,2023-10-22 16:35:00+0000,2023-10-22 22:31:00+0000,53,"[{\"start\":\"2022-01-08 00:37:35+0000\",\"end\":\"2022-01-08 00:37:51+0000\"},{\"start\":\"2022-01-08 00:37:52+0000\",\"end\":\"2022-01-08 00:38:06+0000\"},{\"start\":\"2022-01-08 00:38:07+0000\",\"end\":\"2022-01-08 00:39:11+0000\"}]"
2023-10-24,81,262,0,2023-10-23 16:16:00+0000,2023-10-23 22:37:00+0000,38,"[{\"start\":\"2022-01-08 00:37:32+0000\",\"end\":\"2022-01-08 00:37:53+0000\"}]"
2023-10-25,0,0,0,2023-10-23 16:00:00+0000,2023-10-23 16:00:00+0000,0,
2023-10-26,63,226,0,2023-10-25 17:46:00+0000,2023-10-25 23:28:00+0000,53,
2023-10-27,116,377,1,2023-10-26 18:09:00+0000,2023-10-27 03:19:00+0000,56,
2023-10-28,0,0,0,2023-10-26 16:00:00+0000,2023-10-26 16:00:00+0000,0,
2023-10-29,109,357,0,2023-10-28 18:18:00+0000,2023-10-29 03:37:00+0000,93,
2023-10-30,68,218,1,2023-10-29 16:26:00+0000,2023-10-29 22:31:00+0000,78,"[{\"start\":\"2022-01-08 00:35:36+0000\",\"end\":\"2022-01-08 00:36:02+0000\"}]"
2023-10-31,74,237,61,2023-10-30 16:20:00+0000,2023-10-31 00:11:00+0000,99,"[{\"start\":\"2022-01-08 00:33:11+0000\",\"end\":\"2022-01-08 00:33:48+0000\"}]"
2023-11-01,98,431,0,2023-10-31 16:45:00+0000,2023-11-01 02:53:00+0000,79,
2023-11-02,60,338,0,2023-11-01 17:41:00+0000,2023-11-02 01:50:00+0000,91,
2023-11-03,79,280,0,2023-11-02 19:06:00+0000,2023-11-03 02:00:00+0000,55,
2023-11-04,92,447,0,2023-11-03 16:39:00+0000,2023-11-04 03:16:00+0000,98,
2023-11-05,76,429,0,2023-11-04 17:24:00+0000,2023-11-05 03:27:00+0000,98,
2023-11-06,70,354,0,2023-11-05 17:54:00+0000,2023-11-06 02:26:00+0000,88,
2023-11-07,124,374,1,2023-11-06 17:10:00+0000,2023-11-07 02:49:00+0000,80,
2023-11-08,72,229,0,2023-11-07 16:59:00+0000,2023-11-07 23:20:00+0000,80,"[{\"start\":\"2022-01-08 00:43:42+0000\",\"end\":\"2022-01-08 00:44:27+0000\"}]"
2023-11-09,94,401,0,2023-11-08 17:19:00+0000,2023-11-09 02:48:00+0000,74,
2023-11-10,61,254,0,2023-11-09 17:13:00+0000,2023-11-09 23:41:00+0000,73,"[{\"start\":\"2022-01-08 00:34:51+0000\",\"end\":\"2022-01-08 00:35:09+0000\"}]"
2023-11-11,59,438,0,2023-11-10 17:10:00+0000,2023-11-11 02:36:00+0000,69,
2023-11-12,89,380,0,2023-11-11 18:31:00+0000,2023-11-12 03:26:00+0000,66,"[{\"start\":\"2022-01-08 00:43:18+0000\",\"end\":\"2022-01-08 00:44:06+0000\"}]"
2023-11-13,63,311,0,2023-11-12 19:30:00+0000,2023-11-13 02:44:00+0000,60,
2023-11-14,72,240,0,2023-11-13 16:26:00+0000,2023-11-13 22:24:00+0000,46,
2023-11-15,79,372,0,2023-11-14 17:24:00+0000,2023-11-15 02:31:00+0000,96,
2023-11-16,123,265,0,2023-11-15 16:31:00+0000,2023-11-16 00:08:00+0000,69,
2023-11-17,0,0,0,2023-11-15 16:00:00+0000,2023-11-15 16:00:00+0000,0,
2023-11-18,125,308,0,2023-11-17 16:38:00+0000,2023-11-18 02:07:00+0000,136,
2023-11-19,0,0,0,2023-11-17 16:00:00+0000,2023-11-17 16:00:00+0000,0,
2023-11-20,76,340,0,2023-11-19 17:56:00+0000,2023-11-20 02:34:00+0000,102,
2023-11-21,116,438,0,2023-11-20 16:48:00+0000,2023-11-21 03:22:00+0000,80,
2023-11-22,0,0,0,2023-11-20 16:00:00+0000,2023-11-20 16:00:00+0000,0,
2023-11-23,66,240,0,2023-11-22 16:38:00+0000,2023-11-22 22:23:00+0000,39,"[{\"start\":\"2022-01-08 00:43:54+0000\",\"end\":\"2022-01-08 00:44:35+0000\"}]"
2023-11-24,76,304,0,2023-11-23 16:28:00+0000,2023-11-23 23:33:00+0000,45,
2023-11-25,67,272,0,2023-11-24 16:28:00+0000,2023-11-24 23:18:00+0000,71,"[{\"start\":\"2022-01-08 00:32:32+0000\",\"end\":\"2022-01-08 00:33:22+0000\"}]"
2023-11-26,0,0,0,2023-11-24 16:00:00+0000,2023-11-24 16:00:00+0000,0,
2023-11-27,67,198,0,2023-11-26 17:13:00+0000,2023-11-26 22:27:00+0000,49,"[{\"start\":\"2022-01-08 00:35:25+0000\",\"end\":\"2022-01-08 00:35:55+0000\"}]"
2023-11-28,92,288,29,2023-11-27 15:09:00+0000,2023-11-27 22:53:00+0000,55,"[{\"start\":\"2022-01-08 00:39:57+0000\",\"end\":\"2022-01-08 00:40:21+0000\"}]"
2023-11-29,127,218,72,2023-11-28 16:21:00+0000,2023-11-29 01:12:00+0000,114,
2023-11-30,69,231,0,2023-11-29 16:26:00+0000,2023-11-29 22:34:00+0000,68,
2023-12-01,70,258,0,2023-11-30 16:26:00+0000,2023-11-30 22:27:00+0000,33,
2023-12-02,48,317,0,2023-12-01 18:35:00+0000,2023-12-02 02:45:00+0000,125,
2023-12-03,117,337,2,2023-12-02 17:38:00+0000,2023-12-03 03:13:00+0000,119,
2023-12-04,0,0,0,2023-12-02 16:00:00+0000,2023-12-02 16:00:00+0000,0,"[{\"start\":\"2022-01-08 00:37:43+0000\",\"end\":\"2022-01-08 00:38:25+0000\"},{\"start\":\"2022-01-08 00:45:30+0000\",\"end\":\"2022-01-08 00:46:04+0000\"}]"
2023-12-05,73,235,0,2023-12-04 16:25:00+0000,2023-12-04 22:30:00+0000,57,
2023-12-06,0,109,0,2023-12-05 23:36:00+0000,2023-12-06 01:39:00+0000,14,
2023-12-07,65,227,0,2023-12-06 16:38:00+0000,2023-12-06 22:30:00+0000,60,
2023-12-08,0,0,0,2023-12-06 16:00:00+0000,2023-12-06 16:00:00+0000,0,
2023-12-09,69,318,0,2023-12-08 18:14:00+0000,2023-12-09 01:52:00+0000,71,
2023-12-10,120,306,0,2023-12-09 19:50:00+0000,2023-12-10 04:10:00+0000,74,"[{\"start\":\"2022-01-08 00:43:40+0000\",\"end\":\"2022-01-08 00:44:38+0000\"}]"
2023-12-11,79,229,0,2023-12-10 16:49:00+0000,2023-12-10 22:41:00+0000,44,"[{\"start\":\"2022-01-08 00:37:52+0000\",\"end\":\"2022-01-08 00:38:25+0000\"},{\"start\":\"2022-01-08 00:38:26+0000\",\"end\":\"2022-01-08 00:38:39+0000\"},{\"start\":\"2022-01-08 00:38:40+0000\",\"end\":\"2022-01-08 00:39:11+0000\"}]"
2023-12-12,0,0,0,2023-12-10 16:00:00+0000,2023-12-10 16:00:00+0000,0,"[{\"start\":\"2022-01-08 00:32:37+0000\",\"end\":\"2022-01-08 00:33:56+0000\"},{\"start\":\"2022-01-08 00:38:39+0000\",\"end\":\"2022-01-08 00:39:10+0000\"}]"
2023-12-13,113,226,62,2023-12-12 16:37:00+0000,2023-12-13 01:17:00+0000,119,
2023-12-14,64,250,0,2023-12-13 16:20:00+0000,2023-12-13 22:20:00+0000,46,
2023-12-15,82,242,46,2023-12-14 16:16:00+0000,2023-12-15 00:09:00+0000,103,
2023-12-16,90,312,0,2023-12-15 17:19:00+0000,2023-12-16 00:40:00+0000,39,"[{\"start\":\"2022-01-08 00:44:01+0000\",\"end\":\"2022-01-08 00:44:24+0000\"},{\"start\":\"2022-01-08 00:46:41+0000\",\"end\":\"2022-01-08 00:47:06+0000\"}]"
2023-12-17,82,353,1,2023-12-16 19:30:00+0000,2023-12-17 04:01:00+0000,75,
2023-12-18,81,217,0,2023-12-17 16:30:00+0000,2023-12-17 22:39:00+0000,71,"[{\"start\":\"2022-01-08 00:37:31+0000\",\"end\":\"2022-01-08 00:38:22+0000\"}]"
2023-12-19,52,298,0,2023-12-18 16:40:00+0000,2023-12-18 23:22:00+0000,52,
2023-12-20,114,394,0,2023-12-19 16:25:00+0000,2023-12-20 02:44:00+0000,111,
2023-12-21,0,0,0,2023-12-19 16:00:00+0000,2023-12-19 16:00:00+0000,0,
2023-12-22,64,333,0,2023-12-21 17:38:00+0000,2023-12-22 02:17:00+0000,122,
2023-12-23,133,319,0,2023-12-22 18:22:00+0000,2023-12-23 04:27:00+0000,153,
2023-12-24,0,0,0,2023-12-22 16:00:00+0000,2023-12-22 16:00:00+0000,0,
2024-02-28,0,0,0,2024-02-26 16:00:00+0000,2024-02-26 16:00:00+0000,0,
2024-02-29,65,253,47,2024-02-28 16:08:00+0000,2024-02-29 00:02:00+0000,109,"[{\"start\":\"2022-01-08 00:37:35+0000\",\"end\":\"2022-01-08 00:38:06+0000\"},{\"start\":\"2022-01-08 00:38:07+0000\",\"end\":\"2022-01-08 00:38:07+0000\"},{\"start\":\"2022-01-08 00:38:08+0000\",\"end\":\"2022-01-08 00:38:37+0000\"},{\"start\":\"2022-01-08 00:38:38+0000\",\"end\":\"2022-01-08 00:38:38+0000\"},{\"start\":\"2022-01-08 00:38:39+0000\",\"end\":\"2022-01-08 00:38:39+0000\"},{\"start\":\"2022-01-08 00:43:40+0000\",\"end\":\"2022-01-08 00:44:22+0000\"}]"
2024-03-01,105,218,63,2024-02-29 16:21:00+0000,2024-03-01 00:10:00+0000,83,"[{\"start\":\"2022-01-08 00:33:48+0000\",\"end\":\"2022-01-08 00:34:08+0000\"}]"
2024-03-02,104,277,0,2024-03-01 17:33:00+0000,2024-03-02 02:02:00+0000,128,
2024-03-03,134,333,0,2024-03-02 17:10:00+0000,2024-03-03 02:53:00+0000,116,
2024-03-04,72,222,0,2024-03-03 16:29:00+0000,2024-03-03 22:42:00+0000,79,
2024-03-05,87,311,1,2024-03-04 16:36:00+0000,2024-03-05 00:31:00+0000,76,
2024-03-06,65,236,0,2024-03-05 16:25:00+0000,2024-03-05 22:37:00+0000,71,
2024-03-07,0,23,0,2024-03-06 23:33:00+0000,2024-03-06 23:56:00+0000,0,
2024-03-08,72,235,0,2024-03-07 16:26:00+0000,2024-03-07 22:29:00+0000,56,
2024-03-09,184,511,0,2024-03-08 17:00:00+0000,2024-03-09 07:33:00+0000,178,
2024-03-10,61,317,0,2024-03-09 19:45:00+0000,2024-03-10 03:21:00+0000,78,
2024-03-11,64,216,0,2024-03-10 16:37:00+0000,2024-03-10 22:31:00+0000,74,"[{\"start\":\"2022-01-08 00:37:38+0000\",\"end\":\"2022-01-08 00:38:36+0000\"}]"
2024-03-12,71,296,0,2024-03-11 17:13:00+0000,2024-03-12 00:23:00+0000,63,"[{\"start\":\"2022-01-08 00:38:36+0000\",\"end\":\"2022-01-08 00:38:57+0000\"}]"
2024-03-13,81,193,0,2024-03-12 16:50:00+0000,2024-03-12 22:47:00+0000,83,"[{\"start\":\"2022-01-08 00:34:30+0000\",\"end\":\"2022-01-08 00:35:26+0000\"},{\"start\":\"2022-01-08 00:39:54+0000\",\"end\":\"2022-01-08 00:40:32+0000\"}]"
2024-03-14,66,382,0,2024-03-13 16:47:00+0000,2024-03-14 01:48:00+0000,93,"[{\"start\":\"2022-01-08 00:40:19+0000\",\"end\":\"2022-01-08 00:41:05+0000\"}]"
2024-03-15,85,272,0,2024-03-14 17:18:00+0000,2024-03-15 00:36:00+0000,81,
2024-03-16,101,320,0,2024-03-15 18:02:00+0000,2024-03-16 02:04:00+0000,61,
2024-03-17,96,283,0,2024-03-16 19:23:00+0000,2024-03-17 02:42:00+0000,60,
2024-03-18,59,276,0,2024-03-17 18:08:00+0000,2024-03-18 00:43:00+0000,60,
2024-03-19,111,236,0,2024-03-18 16:38:00+0000,2024-03-19 00:03:00+0000,98,"[{\"start\":\"2022-01-08 00:40:08+0000\",\"end\":\"2022-01-08 00:40:20+0000\"},{\"start\":\"2022-01-08 00:40:21+0000\",\"end\":\"2022-01-08 00:40:28+0000\"},{\"start\":\"2022-01-08 00:40:29+0000\",\"end\":\"2022-01-08 00:41:09+0000\"}]"
2024-03-20,45,252,0,2024-03-19 16:44:00+0000,2024-03-19 22:35:00+0000,54,
2024-03-21,114,273,0,2024-03-20 16:41:00+0000,2024-03-21 00:22:00+0000,74,"[{\"start\":\"2022-01-08 00:34:38+0000\",\"end\":\"2022-01-08 00:35:22+0000\"}]"
2024-03-22,91,287,0,2024-03-21 17:07:00+0000,2024-03-22 00:34:00+0000,69,
2024-03-23,115,336,0,2024-03-22 18:43:00+0000,2024-03-23 03:19:00+0000,65,
2024-03-24,110,294,0,2024-03-23 18:38:00+0000,2024-03-24 03:00:00+0000,98,
2024-03-25,61,172,0,2024-03-24 17:24:00+0000,2024-03-24 22:27:00+0000,70,"[{\"start\":\"2022-01-08 00:34:42+0000\",\"end\":\"2022-01-08 00:35:15+0000\"}]"
2024-03-26,75,246,0,2024-03-25 16:39:00+0000,2024-03-25 22:36:00+0000,36,"[{\"start\":\"2022-01-08 00:39:58+0000\",\"end\":\"2022-01-08 00:40:31+0000\"}]"
2024-03-27,51,265,1,2024-03-26 16:35:00+0000,2024-03-26 22:51:00+0000,59,
2024-03-28,94,312,0,2024-03-27 16:39:00+0000,2024-03-28 00:41:00+0000,76,
2024-03-29,66,246,0,2024-03-28 16:46:00+0000,2024-03-28 22:33:00+0000,35,
2024-03-30,101,336,0,2024-03-29 18:21:00+0000,2024-03-30 03:05:00+0000,87,
2024-03-31,117,363,2,2024-03-30 18:29:00+0000,2024-03-31 03:33:00+0000,62,
2024-04-01,74,281,0,2024-03-31 17:49:00+0000,2024-04-01 00:35:00+0000,51,
2024-04-02,76,229,0,2024-04-01 16:35:00+0000,2024-04-01 22:28:00+0000,48,"[{\"start\":\"2022-01-08 00:32:44+0000\",\"end\":\"2022-01-08 00:33:39+0000\"}]"
2024-04-03,67,249,0,2024-04-02 16:39:00+0000,2024-04-02 22:41:00+0000,46,"[{\"start\":\"2022-01-08 00:35:01+0000\",\"end\":\"2022-01-08 00:35:28+0000\"}]"
2024-04-04,93,196,0,2024-04-03 17:01:00+0000,2024-04-03 23:02:00+0000,72,
2024-04-05,163,452,0,2024-04-04 15:44:00+0000,2024-04-05 04:13:00+0000,134,
2024-04-06,0,0,0,2024-04-04 16:00:00+0000,2024-04-04 16:00:00+0000,0,
2024-04-07,39,255,0,2024-04-06 16:19:00+0000,2024-04-06 22:21:00+0000,68,"[{\"start\":\"2022-01-08 00:35:21+0000\",\"end\":\"2022-01-08 00:35:58+0000\"}]"
2024-04-08,71,217,0,2024-04-07 17:06:00+0000,2024-04-07 22:37:00+0000,43,
2024-04-09,91,328,0,2024-04-08 17:07:00+0000,2024-04-09 01:15:00+0000,69,"[{\"start\":\"2022-01-08 00:40:15+0000\",\"end\":\"2022-01-08 00:40:33+0000\"}]"
2024-04-10,62,200,0,2024-04-09 16:51:00+0000,2024-04-09 22:24:00+0000,71,
2024-04-11,113,337,0,2024-04-10 16:45:00+0000,2024-04-11 01:09:00+0000,54,
2024-04-12,98,275,0,2024-04-11 16:55:00+0000,2024-04-12 01:13:00+0000,125,
2024-04-13,85,269,0,2024-04-12 18:36:00+0000,2024-04-13 01:49:00+0000,79,
2024-04-14,100,298,0,2024-04-13 18:45:00+0000,2024-04-14 03:14:00+0000,111,
2024-04-15,88,341,0,2024-04-14 16:53:00+0000,2024-04-15 00:54:00+0000,52,"[{\"start\":\"2022-01-08 00:38:38+0000\",\"end\":\"2022-01-08 00:39:40+0000\"}]"
2024-04-16,113,315,0,2024-04-15 17:00:00+0000,2024-04-16 01:32:00+0000,84,
2024-04-17,63,228,0,2024-04-16 16:54:00+0000,2024-04-16 22:38:00+0000,53,"[{\"start\":\"2022-01-08 00:35:37+0000\",\"end\":\"2022-01-08 00:36:02+0000\"}]"
2024-04-18,0,0,0,2024-04-16 16:00:00+0000,2024-04-16 16:00:00+0000,0,
2024-04-19,94,290,4,2024-04-18 17:11:00+0000,2024-04-19 00:43:00+0000,64,
2024-04-20,79,303,0,2024-04-19 17:22:00+0000,2024-04-20 00:12:00+0000,28,
2024-04-21,106,261,0,2024-04-20 18:03:00+0000,2024-04-21 01:07:00+0000,57,
2024-04-22,63,293,0,2024-04-21 19:44:00+0000,2024-04-22 02:51:00+0000,71,"[{\"start\":\"2022-01-08 00:38:29+0000\",\"end\":\"2022-01-08 00:38:52+0000\"}]"
2024-04-23,53,401,2,2024-04-22 16:59:00+0000,2024-04-23 01:45:00+0000,70,
2024-04-24,46,231,0,2024-04-23 16:57:00+0000,2024-04-23 22:24:00+0000,50,
2024-04-25,103,339,0,2024-04-24 16:42:00+0000,2024-04-25 01:16:00+0000,72,"[{\"start\":\"2022-01-08 00:38:21+0000\",\"end\":\"2022-01-08 00:39:02+0000\"}]"
2024-04-26,97,341,0,2024-04-25 16:51:00+0000,2024-04-26 01:13:00+0000,64,
2024-04-27,86,348,1,2024-04-26 17:27:00+0000,2024-04-27 02:05:00+0000,83,
2024-04-28,64,180,48,2024-04-27 17:59:00+0000,2024-04-28 00:41:00+0000,110,
2024-04-29,74,396,2,2024-04-28 17:16:00+0000,2024-04-29 02:30:00+0000,82,
2024-04-30,52,334,0,2024-04-29 17:21:00+0000,2024-04-30 01:08:00+0000,81,
2024-05-01,68,258,0,2024-04-30 18:40:00+0000,2024-05-01 01:37:00+0000,91,
2024-05-02,104,339,0,2024-05-01 18:55:00+0000,2024-05-02 03:29:00+0000,71,
2024-05-03,131,444,0,2024-05-02 18:44:00+0000,2024-05-03 05:33:00+0000,74,
2024-05-04,105,322,0,2024-05-03 20:55:00+0000,2024-05-04 04:48:00+0000,46,
2024-05-05,111,345,1,2024-05-04 18:52:00+0000,2024-05-05 03:33:00+0000,64,
2024-05-06,86,316,0,2024-05-05 17:24:00+0000,2024-05-06 01:53:00+0000,107,
2024-05-07,70,212,0,2024-05-06 18:01:00+0000,2024-05-06 23:51:00+0000,68,"[{\"start\":\"2022-01-08 00:40:42+0000\",\"end\":\"2022-01-08 00:41:05+0000\"}]"
2024-05-08,44,244,1,2024-05-07 16:46:00+0000,2024-05-07 22:41:00+0000,66,"[{\"start\":\"2022-01-08 00:34:44+0000\",\"end\":\"2022-01-08 00:35:32+0000\"}]"
2024-05-09,64,353,0,2024-05-08 16:27:00+0000,2024-05-09 01:02:00+0000,98,
2024-05-10,85,279,0,2024-05-09 16:59:00+0000,2024-05-10 00:51:00+0000,108,
2024-05-11,89,297,0,2024-05-10 16:47:00+0000,2024-05-11 01:14:00+0000,121,
2024-05-12,96,350,0,2024-05-11 18:33:00+0000,2024-05-12 02:49:00+0000,50,
2024-05-13,89,357,0,2024-05-12 17:31:00+0000,2024-05-13 01:49:00+0000,52,
2024-05-14,78,300,0,2024-05-13 16:38:00+0000,2024-05-14 00:50:00+0000,114,"[{\"start\":\"2022-01-08 00:40:33+0000\",\"end\":\"2022-01-08 00:41:03+0000\"}]"
2024-05-15,50,304,0,2024-05-14 19:12:00+0000,2024-05-15 02:49:00+0000,103,
2024-05-16,0,0,0,2024-05-14 16:00:00+0000,2024-05-14 16:00:00+0000,0,"[{\"start\":\"2022-01-08 00:35:23+0000\",\"end\":\"2022-01-08 00:35:59+0000\"}]"
2024-05-17,83,332,0,2024-05-16 17:23:00+0000,2024-05-17 01:20:00+0000,62,
2024-05-18,65,300,0,2024-05-17 18:09:00+0000,2024-05-18 01:40:00+0000,86,
2024-05-19,74,251,0,2024-05-18 17:22:00+0000,2024-05-18 23:25:00+0000,38,"[{\"start\":\"2022-01-08 00:33:04+0000\",\"end\":\"2022-01-08 00:33:18+0000\"},{\"start\":\"2022-01-08 00:33:19+0000\",\"end\":\"2022-01-08 00:33:30+0000\"},{\"start\":\"2022-01-08 00:33:31+0000\",\"end\":\"2022-01-08 00:34:09+0000\"},{\"start\":\"2022-01-08 00:38:59+0000\",\"end\":\"2022-01-08 00:39:57+0000\"}]"
2024-05-20,69,337,0,2024-05-19 17:28:00+0000,2024-05-20 01:45:00+0000,91,
2024-05-21,101,283,0,2024-05-20 17:04:00+0000,2024-05-21 01:08:00+0000,100,
2024-05-22,100,324,0,2024-05-21 16:43:00+0000,2024-05-22 01:11:00+0000,84,
2024-05-23,94,333,0,2024-05-22 16:53:00+0000,2024-05-23 01:26:00+0000,86,"[{\"start\":\"2022-01-08 00:38:15+0000\",\"end\":\"2022-01-08 00:39:05+0000\"}]"
2024-05-24,111,258,6,2024-05-23 17:02:00+0000,2024-05-24 01:14:00+0000,117,
2024-05-25,92,390,0,2024-05-24 17:25:00+0000,2024-05-25 02:58:00+0000,91,
2024-05-26,95,281,0,2024-05-25 17:48:00+0000,2024-05-26 02:00:00+0000,116,
2024-05-27,138,440,0,2024-05-26 16:53:00+0000,2024-05-27 04:16:00+0000,105,
2024-05-28,86,345,0,2024-05-27 18:05:00+0000,2024-05-28 02:17:00+0000,61,
2024-05-29,74,363,0,2024-05-28 16:35:00+0000,2024-05-29 01:06:00+0000,74,
2024-05-30,98,411,0,2024-05-29 17:25:00+0000,2024-05-30 03:56:00+0000,122,
2024-05-31,70,234,0,2024-05-30 18:04:00+0000,2024-05-30 23:58:00+0000,50,
2024-06-01,31,328,2,2024-05-31 17:44:00+0000,2024-06-01 02:03:00+0000,138,
2024-06-02,112,262,0,2024-06-01 19:25:00+0000,2024-06-02 03:06:00+0000,87,
2024-06-03,82,280,0,2024-06-02 19:37:00+0000,2024-06-03 02:18:00+0000,39,
2024-06-04,0,0,0,2024-06-02 16:00:00+0000,2024-06-02 16:00:00+0000,0,
2024-06-05,78,258,0,2024-06-04 18:15:00+0000,2024-06-05 00:54:00+0000,63,"[{\"start\":\"2022-01-08 00:35:36+0000\",\"end\":\"2022-01-08 00:36:02+0000\"}]"
2024-06-06,106,421,0,2024-06-05 17:42:00+0000,2024-06-06 03:49:00+0000,80,
2024-06-07,101,222,0,2024-06-06 18:25:00+0000,2024-06-07 01:15:00+0000,87,
2024-06-08,105,316,0,2024-06-07 16:27:00+0000,2024-06-08 01:08:00+0000,100,
2024-06-09,0,0,0,2024-06-07 16:00:00+0000,2024-06-07 16:00:00+0000,0,"[{\"start\":\"2022-01-08 00:43:52+0000\",\"end\":\"2022-01-08 00:44:47+0000\"}]"
2024-06-10,46,163,44,2024-06-09 21:45:00+0000,2024-06-10 03:29:00+0000,91,
2024-06-11,118,334,0,2024-06-10 16:46:00+0000,2024-06-11 01:48:00+0000,90,"[{\"start\":\"2022-01-08 00:43:54+0000\",\"end\":\"2022-01-08 00:44:25+0000\"}]"
2024-06-12,66,287,0,2024-06-11 17:28:00+0000,2024-06-12 00:38:00+0000,77,
2024-06-13,82,318,0,2024-06-12 16:25:00+0000,2024-06-13 00:11:00+0000,66,
2024-06-14,99,282,0,2024-06-13 16:10:00+0000,2024-06-14 00:13:00+0000,102,
2024-06-15,88,309,0,2024-06-14 16:20:00+0000,2024-06-15 00:16:00+0000,79,
2024-06-16,103,328,0,2024-06-15 16:20:00+0000,2024-06-16 00:21:00+0000,50,
2024-06-17,62,235,17,2024-06-16 19:48:00+0000,2024-06-17 02:37:00+0000,95,
2024-06-18,72,298,0,2024-06-17 19:35:00+0000,2024-06-18 03:32:00+0000,107,
2024-06-19,85,270,0,2024-06-18 18:01:00+0000,2024-06-19 00:37:00+0000,41,
2024-06-20,79,346,0,2024-06-19 19:16:00+0000,2024-06-20 03:36:00+0000,75,
2024-06-21,106,313,0,2024-06-20 18:54:00+0000,2024-06-21 03:36:00+0000,103,
2024-06-22,51,316,0,2024-06-21 18:52:00+0000,2024-06-22 01:46:00+0000,47,
2024-06-23,81,322,0,2024-06-22 17:46:00+0000,2024-06-23 02:34:00+0000,125,
2024-06-24,105,334,0,2024-06-23 18:23:00+0000,2024-06-24 03:57:00+0000,135,
2024-06-25,55,316,0,2024-06-24 18:44:00+0000,2024-06-25 02:17:00+0000,82,
2024-06-26,36,227,0,2024-06-25 18:17:00+0000,2024-06-25 23:22:00+0000,42,
2024-06-27,103,384,0,2024-06-26 18:15:00+0000,2024-06-27 02:55:00+0000,33,
2024-06-28,119,363,0,2024-06-27 18:09:00+0000,2024-06-28 03:27:00+0000,76,"[{\"start\":\"2022-01-08 00:37:51+0000\",\"end\":\"2022-01-08 00:38:34+0000\"},{\"start\":\"2022-01-08 00:38:35+0000\",\"end\":\"2022-01-08 00:38:39+0000\"},{\"start\":\"2022-01-08 00:38:40+0000\",\"end\":\"2022-01-08 00:38:53+0000\"}]"
2024-06-29,79,294,0,2024-06-28 19:03:00+0000,2024-06-29 02:46:00+0000,90,
2024-06-30,68,371,0,2024-06-29 18:23:00+0000,2024-06-30 03:15:00+0000,93,
2024-07-01,51,268,0,2024-06-30 22:36:00+0000,2024-07-01 05:07:00+0000,72,
